ward,parking_complaint,n
1,not-parking,35503
5,not-parking,46196
5,parking,12547
6,parking,16107
8,not-parking,31099
7,not-parking,42581
4,not-parking,46081
2,not-parking,30743
6,not-parking,36516
1,parking,12157
3,not-parking,27345
8,parking,8146
2,parking,16265
7,parking,10433
4,parking,7569
3,parking,4934
